"","X","Countrycode","Namespace","AirQualityNetwork","AirQualityStation","AirQualityStationEoICode","SamplingPoint","SamplingProcess","Sample","AirPollutant","AirPollutantCode","AveragingTime","Concentration","UnitOfMeasurement","DatetimeBegin","DatetimeEnd","Validity","Verification","statname","stattype","statareatype","lon","lat","altitude"
"662",662,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",23.33399963,"µg/m3","2014-01-06 00:00:00 +01:00","2014-01-07 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"663",663,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",29.66099929,"µg/m3","2014-01-11 00:00:00 +01:00","2014-01-12 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"664",664,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",22.73900032,"µg/m3","2014-01-22 00:00:00 +01:00","2014-01-23 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"665",665,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",35.95399856,"µg/m3","2014-01-18 00:00:00 +01:00","2014-01-19 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"666",666,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",28.06599807,"µg/m3","2014-01-27 00:00:00 +01:00","2014-01-28 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"667",667,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",15.97199916,"µg/m3","2014-02-03 00:00:00 +01:00","2014-02-04 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"668",668,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",19.89999961,"µg/m3","2014-01-30 00:00:00 +01:00","2014-01-31 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"669",669,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",35.27499771,"µg/m3","2014-01-01 00:00:00 +01:00","2014-01-02 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"670",670,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",31.88799858,"µg/m3","2014-02-25 00:00:00 +01:00","2014-02-26 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"671",671,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",17.41399955,"µg/m3","2014-03-24 00:00:00 +01:00","2014-03-25 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"672",672,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",14.70399951,"µg/m3","2014-03-25 00:00:00 +01:00","2014-03-26 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"673",673,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",31.27699851,"µg/m3","2014-04-02 00:00:00 +01:00","2014-04-03 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"674",674,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",14.2189989,"µg/m3","2014-03-29 00:00:00 +01:00","2014-03-30 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"675",675,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",17.395998,"µg/m3","2014-03-15 00:00:00 +01:00","2014-03-16 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
"676",676,"AT","AT.0008.20.AQ","NET.07","STA.07.2910","AT72910","SPO.07.2910.55405.5.1","SPP.07.2910.55405.5.1.2521","SAM.07.2910.55405.5.1","PM10","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5","day",30.41699981,"µg/m3","2014-03-12 00:00:00 +01:00","2014-03-13 00:00:00 +01:00",1,1,"Lienz Amlacherkreuzung","Traffic","urban",12.76557,46.828056,670
